name,member_id,term,int_rate,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,inq_last_6mths,revol_util,out_prncp,total_pymnt,total_rec_int,last_pymnt_amnt,tot_cur_bal,total_rev_hi_lim,earliest_cr_line,issue_d,last_pymnt_d,last_credit_pull_d,score
Nguyễn Viết Lập,78770369,60,17.83,F,7 years,OWN,40485,Source Verified,home_improvement,24.55,8,55.51,18517,19350,5746,3982,43460,35627,Oct-95,Jun-21,Mar-22,Aug-23,676.0
Vũ Thị Hồng Nga,73799790,60,14.04,A,3 years,MORTGAGE,42947,Verified,home_improvement,15.47,4,8.36,5430,23926,7413,3378,63436,41923,Feb-07,Feb-21,Jan-22,Feb-23,747.0
Chu Ngọc Hà,64652475,60,5.47,B,3 years,RENT,83544,Source Verified,small_business,24.32,6,78.82,2328,29477,7000,6941,55327,7905,Oct-11,Jun-21,Nov-23,Aug-23,720.0
Nguyễn Đức Thông,52307508,60,21.6,E,7 years,RENT,134242,Verified,credit_card,6.28,5,48.29,18511,30953,9415,6721,52816,28108,Mar-99,Sep-21,Aug-23,Dec-23,654.0
Döông Töû Khoâi,96384688,60,12.59,B,3 years,RENT,42973,Source Verified,small_business,14.8,8,72.6,3093,48912,6621,6246,87181,29987,Jul-08,Jun-22,Nov-23,Oct-22,707.0
Võ Xuân Vương,90489769,60,7.44,B,9 years,OWN,84364,Verified,other,27.62,4,19.55,13323,36158,4061,6966,77973,17795,Jul-96,Dec-22,Feb-22,Nov-23,714.0
Lê Phúc Toàn,34216911,60,9.15,A,5 years,MORTGAGE,136840,Source Verified,credit_card,27.04,5,77.47,6632,37833,7950,6215,14722,39176,Feb-16,Jul-22,Oct-23,Mar-22,725.0
Trần Thành Vi Thanh,28291081,36,18.21,B,10+ years,MORTGAGE,55750,Source Verified,home_improvement,7.59,8,47.75,18509,13326,7444,8850,81649,26680,Dec-90,Aug-21,Aug-22,Sep-22,617.0
Nguyễn Thành Nam,40638350,36,5.42,C,9 years,RENT,67420,Source Verified,home_improvement,26.69,7,72.62,17267,33464,4062,9663,93251,8193,Jun-99,Sep-22,Jul-23,Mar-22,698.0
Nguyễn Khắc Khải,97847920,60,22.39,G,6 years,RENT,95821,Verified,other,21.63,5,78.33,14752,14297,8741,5811,55312,25358,Jul-96,Nov-22,Nov-22,Dec-23,569.0
Hoàng Minh Lộc,99604290,60,22.43,D,5 years,OWN,74659,Source Verified,home_improvement,26.02,3,31.01,17401,34726,3556,1842,82187,19528,Mar-96,Jul-22,Jan-23,Mar-22,655.0
Nguyễn Thành Đạt,73813203,36,24.12,E,7 years,RENT,52912,Verified,major_purchase,19.19,5,47.52,19548,14875,4929,7965,83810,25425,Jan-99,May-22,May-23,Feb-23,588.0
Phan Ngọc Minh Luân,83755300,36,22.71,A,3 years,RENT,146949,Source Verified,other,13.76,6,31.44,11421,25663,8133,121,91875,26664,Feb-09,Sep-21,Feb-23,Oct-22,670.0
BĂši Minh Anh TháşŁo,73835552,36,22.35,A,3 years,OWN,62876,Source Verified,other,13.16,5,41.5,9360,29402,812,6571,7484,14121,Dec-92,Aug-21,Jul-23,Apr-22,685.0
Đặng Vũ Hiệp,85734874,36,13.71,D,8 years,MORTGAGE,56220,Verified,credit_card,27.31,0,11.15,9054,17848,7906,6196,7138,18264,Oct-19,Nov-22,Feb-23,Feb-22,690.0
Lê Thanh Ngọc,93548772,60,16.83,A,6 years,RENT,126211,Source Verified,small_business,6.02,3,90.07,2138,45660,5867,9460,19076,34325,Nov-17,Aug-21,Dec-23,Apr-23,691.0
Trần Ngọc Nghĩa,84101102,60,20.24,A,6 years,RENT,141338,Source Verified,other,17.82,9,36.82,2156,4403,1009,8455,72899,36723,Dec-91,Jan-21,Aug-22,Apr-22,558.0
Huỳnh Phạm Tuấn Minh,28770066,36,21.91,D,5 years,OWN,130584,Verified,home_improvement,16.98,9,40.67,11879,34212,2256,1731,50478,40704,Apr-95,Jun-22,Jan-24,Nov-22,640.0
Đặng Danh Hoàng Duy,28914728,60,19.81,C,3 years,MORTGAGE,116463,Source Verified,debt_consolidation,10.35,5,24.52,11038,38471,8914,1408,68473,25269,May-00,May-22,Jan-22,Mar-22,672.0
Trần Thuỵ Xuân Lâm,16645626,36,18.04,B,< 1 year,MORTGAGE,107249,Verified,small_business,24.17,7,39.0,10003,1166,1669,6375,69725,7997,Dec-08,May-22,May-23,Apr-22,527.0
Nguyễn Xuân Bách,40093478,36,5.93,F,9 years,MORTGAGE,98260,Source Verified,debt_consolidation,29.84,9,95.6,6595,44308,5683,7708,84465,16106,Feb-06,Jan-22,Nov-23,Mar-23,686.0
Nguyễn Trọng Nghĩa,67970265,36,20.64,A,7 years,OWN,83772,Verified,small_business,29.28,7,63.71,16002,38617,1099,1011,19790,42292,Apr-14,Aug-22,Mar-22,Nov-23,670.0
Nguyễn Quang Tuyền,51601173,36,10.18,F,7 years,RENT,125865,Verified,other,15.39,2,38.94,18968,28438,6072,5049,11870,16889,Jul-15,Oct-22,Aug-23,Apr-22,688.0
Võ Văn Chức,88542646,60,24.17,C,1 year,MORTGAGE,51208,Verified,credit_card,19.96,6,8.02,1161,6491,2339,4544,56478,31570,Jan-93,Aug-21,Mar-22,Feb-23,465.0
Phạm Công Tâm,95113275,60,14.34,B,9 years,RENT,78586,Source Verified,debt_consolidation,21.53,0,93.47,529,22306,6946,317,20872,36161,Nov-10,May-22,Mar-22,Jan-22,674.0
Hoàng Đình Du,19425043,60,23.16,E,4 years,MORTGAGE,52587,Verified,home_improvement,24.52,1,10.03,14728,7009,8908,1223,25080,48316,Oct-02,Jun-21,Jul-23,Jan-23,514.0
Nguyễn Tuấn Anh,72169195,60,23.22,G,1 year,OWN,101646,Source Verified,home_improvement,6.13,7,22.93,12986,38367,2329,1645,42578,23515,Feb-96,Aug-22,Jun-22,Feb-23,628.0
Nguyễn Thị UÙt,31642822,60,14.41,D,6 years,RENT,141755,Verified,home_improvement,21.93,9,76.18,18488,42254,2053,8636,33142,43825,Apr-07,May-22,Feb-23,Mar-22,668.0
Phạm Văn Hùng,99576664,36,15.37,F,5 years,RENT,71200,Verified,debt_consolidation,25.79,9,85.89,17634,19285,8160,3439,82204,23395,May-99,Aug-21,Mar-23,Jun-23,664.0
Trần Thị Huyền Trang,19843765,36,16.08,A,2 years,MORTGAGE,40286,Source Verified,home_improvement,14.73,4,45.75,15654,26773,7499,7880,53531,21426,Apr-92,Jun-21,Mar-22,Nov-23,685.0
Mã Tuấn Minh Hiển,77966943,36,13.61,B,7 years,MORTGAGE,48370,Source Verified,other,16.71,0,3.46,15002,38013,1615,7386,30350,6203,Mar-19,Jan-21,Jan-22,Jun-22,706.0
Hà Văn Phước,64390786,60,12.12,G,< 1 year,MORTGAGE,42746,Verified,major_purchase,25.25,7,17.58,5543,15709,6325,5792,23668,30189,Feb-00,Mar-21,Aug-23,Oct-23,685.0
Tôn Đức Việt,71352521,60,17.11,C,9 years,MORTGAGE,107032,Source Verified,small_business,14.37,2,24.67,19085,19308,1215,9185,88652,27074,Apr-92,Mar-22,Dec-22,Jun-22,692.0
Lê Khánh Vi,49090891,36,13.83,B,3 years,OWN,52773,Verified,other,15.31,2,58.37,18885,45520,6697,1115,54128,9250,Aug-00,Oct-22,Jan-23,Mar-23,694.0
Nguyễn Văn Thịnh,38839210,60,10.61,B,4 years,OWN,109020,Source Verified,major_purchase,20.33,1,25.71,17462,23193,8402,7971,97295,23335,Jan-00,Jun-21,Jun-22,Jul-23,741.0
Phạm Hồng Vương,36582109,60,15.65,D,7 years,OWN,30871,Verified,debt_consolidation,5.24,2,92.06,1724,45720,7647,1032,94549,25402,Feb-06,Jan-21,Oct-22,May-22,677.0
Hoàng Văn Linh,34119947,36,15.68,C,< 1 year,OWN,51695,Source Verified,small_business,14.67,2,29.89,3570,18741,5121,7499,60907,48980,Sep-96,Mar-22,Mar-22,Mar-22,692.0
Phùng Thế Đạt,94267302,60,18.81,F,9 years,RENT,131295,Source Verified,other,19.91,7,77.3,11857,31874,3083,3961,80735,12943,Oct-10,Nov-21,Sep-23,Apr-23,657.0
Nguyễn Xuân Tường,19650473,60,23.09,G,1 year,RENT,138949,Verified,small_business,20.35,0,29.14,3001,29759,7598,4449,69194,49924,May-05,Jul-22,Jul-23,Mar-23,617.0
Đinh Tiến Sỹ,50848810,60,5.97,D,3 years,OWN,40099,Source Verified,debt_consolidation,7.53,2,21.13,11514,38477,2925,5122,84676,26671,May-91,Jun-22,May-23,Aug-22,714.0
Hoàng Ngọc Định,97506730,36,20.73,E,4 years,OWN,108387,Source Verified,home_improvement,21.22,8,71.09,13070,36221,3017,4750,61148,13875,Aug-13,Mar-21,Dec-22,Jun-23,636.0
Lê Xuân Thịnh,63962707,36,21.33,B,10+ years,OWN,135595,Source Verified,home_improvement,10.82,3,49.12,17199,45717,2962,5707,37422,12990,Apr-92,Dec-22,May-23,Nov-23,655.0
Vũ Xuân Trường,81886091,36,7.58,G,8 years,MORTGAGE,74535,Source Verified,other,5.53,6,36.36,13767,45507,1324,9569,22967,47644,Aug-06,Jul-21,Nov-22,Oct-22,677.0
Nguyễn Lê Hoài Phương,74337127,36,9.1,E,2 years,RENT,106152,Source Verified,home_improvement,10.91,1,32.27,7071,9647,6128,6385,20901,8801,May-98,Mar-21,Sep-23,Mar-23,544.0
Đỗ Duy Thảo,34788740,36,13.67,B,< 1 year,MORTGAGE,115644,Verified,small_business,10.25,3,54.44,9752,38381,5679,4456,47139,39232,Jul-96,Oct-22,Oct-23,Jul-22,695.0
Hồ Hoàng Thành,73669364,36,20.31,D,8 years,OWN,55639,Verified,debt_consolidation,7.41,3,57.72,18619,46878,3302,600,86764,39205,Apr-14,May-22,Mar-22,Jan-23,656.0
Đặng Văn Đảng,48202913,60,13.48,B,8 years,OWN,49179,Source Verified,home_improvement,21.22,8,66.66,2347,14616,2498,5047,40929,14809,Aug-03,May-22,Sep-22,Dec-22,632.0
